0,0,0.0
0,1,0.0
0,2,0.99
0,3,0.0
1,0,0.0
1,1,0.0
1,2,0.99
1,3,0.0
2,0,0.0
2,1,0.0
2,2,0.99
2,3,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.99
4,0,0.0
4,1,0.99
4,2,0.0
4,3,0.0
5,0,0.0
5,1,0.0
5,2,0.99
5,3,0.0
6,0,0.99
6,1,0.0
6,2,0.0
6,3,0.0
7,0,0.0
7,1,0.99
7,2,0.0
7,3,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.99
9,0,0.0
9,1,0.99
9,2,0.0
9,3,0.0
10,0,0.0
10,1,0.0
10,2,0.99
10,3,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.99
12,0,0.0
12,1,0.0
12,2,0.99
12,3,0.0
13,0,0.0
13,1,0.0
13,2,0.99
13,3,0.0
14,0,0.0
14,1,0.0
14,2,0.0
14,3,0.99
15,0,0.0
15,1,0.0
15,2,0.99
15,3,0.0
