0,0,0.21
0,1,0.36
0,2,0.21
0,3,0.21
1,0,0.36
1,1,0.21
1,2,0.21
1,3,0.21
2,0,0.36
2,1,0.21
2,2,0.21
2,3,0.21
3,0,0.21
3,1,0.36
3,2,0.21
3,3,0.21
4,0,0.36
4,1,0.21
4,2,0.21
4,3,0.21
5,0,0.21
5,1,0.21
5,2,0.36
5,3,0.21
6,0,0.21
6,1,0.36
6,2,0.21
6,3,0.21
7,0,0.21
7,1,0.21
7,2,0.21
7,3,0.36
8,0,0.21
8,1,0.21
8,2,0.36
8,3,0.21
9,0,0.21
9,1,0.36
9,2,0.21
9,3,0.21
10,0,0.36
10,1,0.21
10,2,0.21
10,3,0.21
11,0,0.21
11,1,0.36
11,2,0.21
11,3,0.21
12,0,0.36
12,1,0.21
12,2,0.21
12,3,0.21
13,0,0.21
13,1,0.21
13,2,0.21
13,3,0.36
14,0,0.21
14,1,0.21
14,2,0.36
14,3,0.21
15,0,0.36
15,1,0.21
15,2,0.21
15,3,0.21
