0;0;0.92
0;1;0.03
0;2;0.03
0;3;0.03
1;0;0.92
1;1;0.03
1;2;0.03
1;3;0.03
2;0;0.92
2;1;0.03
2;2;0.03
2;3;0.03
3;0;0.92
3;1;0.03
3;2;0.03
3;3;0.03
4;0;0.92
4;1;0.03
4;2;0.03
4;3;0.03
5;0;0.92
5;1;0.03
5;2;0.03
5;3;0.03
6;0;0.92
6;1;0.03
6;2;0.03
6;3;0.03
7;0;0.92
7;1;0.03
7;2;0.03
7;3;0.03
8;0;0.03
8;1;0.92
8;2;0.03
8;3;0.03
9;0;0.03
9;1;0.03
9;2;0.92
9;3;0.03
10;0;0.92
10;1;0.03
10;2;0.03
10;3;0.03
11;0;0.92
11;1;0.03
11;2;0.03
11;3;0.03
12;0;0.92
12;1;0.03
12;2;0.03
12;3;0.03
13;0;0.03
13;1;0.03
13;2;0.03
13;3;0.92
14;0;0.03
14;1;0.92
14;2;0.03
14;3;0.03
15;0;0.92
15;1;0.03
15;2;0.03
15;3;0.03
