0,0,0.22
0,1,0.35
0,2,0.22
0,3,0.22
1,0,0.22
1,1,0.35
1,2,0.22
1,3,0.22
2,0,0.22
2,1,0.22
2,2,0.35
2,3,0.22
3,0,0.22
3,1,0.35
3,2,0.22
3,3,0.22
4,0,0.35
4,1,0.22
4,2,0.22
4,3,0.22
5,0,0.35
5,1,0.22
5,2,0.22
5,3,0.22
6,0,0.22
6,1,0.22
6,2,0.35
6,3,0.22
7,0,0.35
7,1,0.22
7,2,0.22
7,3,0.22
8,0,0.22
8,1,0.22
8,2,0.35
8,3,0.22
9,0,0.22
9,1,0.35
9,2,0.22
9,3,0.22
10,0,0.22
10,1,0.22
10,2,0.35
10,3,0.22
11,0,0.35
11,1,0.22
11,2,0.22
11,3,0.22
12,0,0.35
12,1,0.22
12,2,0.22
12,3,0.22
13,0,0.22
13,1,0.35
13,2,0.22
13,3,0.22
14,0,0.22
14,1,0.22
14,2,0.35
14,3,0.22
15,0,0.22
15,1,0.22
15,2,0.22
15,3,0.35
