0,0,0.05
0,1,0.85
0,2,0.05
0,3,0.05
1,0,0.85
1,1,0.05
1,2,0.05
1,3,0.05
2,0,0.85
2,1,0.05
2,2,0.05
2,3,0.05
3,0,0.85
3,1,0.05
3,2,0.05
3,3,0.05
4,0,0.05
4,1,0.85
4,2,0.05
4,3,0.05
5,0,0.85
5,1,0.05
5,2,0.05
5,3,0.05
6,0,0.85
6,1,0.05
6,2,0.05
6,3,0.05
7,0,0.05
7,1,0.05
7,2,0.85
7,3,0.05
8,0,0.05
8,1,0.05
8,2,0.85
8,3,0.05
9,0,0.05
9,1,0.05
9,2,0.85
9,3,0.05
10,0,0.85
10,1,0.05
10,2,0.05
10,3,0.05
11,0,0.85
11,1,0.05
11,2,0.05
11,3,0.05
12,0,0.85
12,1,0.05
12,2,0.05
12,3,0.05
13,0,0.05
13,1,0.05
13,2,0.85
13,3,0.05
14,0,0.05
14,1,0.85
14,2,0.05
14,3,0.05
15,0,0.85
15,1,0.05
15,2,0.05
15,3,0.05
