0,0,0.02
0,1,0.02
0,2,0.93
0,3,0.02
1,0,0.93
1,1,0.02
1,2,0.02
1,3,0.02
2,0,0.93
2,1,0.02
2,2,0.02
2,3,0.02
3,0,0.02
3,1,0.93
3,2,0.02
3,3,0.02
4,0,0.02
4,1,0.02
4,2,0.93
4,3,0.02
5,0,0.02
5,1,0.02
5,2,0.93
5,3,0.02
6,0,0.02
6,1,0.93
6,2,0.02
6,3,0.02
7,0,0.02
7,1,0.02
7,2,0.93
7,3,0.02
8,0,0.02
8,1,0.02
8,2,0.02
8,3,0.93
9,0,0.02
9,1,0.93
9,2,0.02
9,3,0.02
10,0,0.93
10,1,0.02
10,2,0.02
10,3,0.02
11,0,0.02
11,1,0.02
11,2,0.93
11,3,0.02
12,0,0.02
12,1,0.02
12,2,0.93
12,3,0.02
13,0,0.02
13,1,0.02
13,2,0.02
13,3,0.93
14,0,0.02
14,1,0.02
14,2,0.93
14,3,0.02
15,0,0.02
15,1,0.02
15,2,0.93
15,3,0.02
