0,0,0.25
0,1,0.26
0,2,0.25
0,3,0.25
1,0,0.26
1,1,0.25
1,2,0.25
1,3,0.25
2,0,0.26
2,1,0.25
2,2,0.25
2,3,0.25
3,0,0.26
3,1,0.25
3,2,0.25
3,3,0.25
4,0,0.25
4,1,0.26
4,2,0.25
4,3,0.25
5,0,0.25
5,1,0.25
5,2,0.26
5,3,0.25
6,0,0.25
6,1,0.26
6,2,0.25
6,3,0.25
7,0,0.25
7,1,0.26
7,2,0.25
7,3,0.25
8,0,0.25
8,1,0.26
8,2,0.25
8,3,0.25
9,0,0.25
9,1,0.25
9,2,0.26
9,3,0.25
10,0,0.25
10,1,0.26
10,2,0.25
10,3,0.25
11,0,0.25
11,1,0.26
11,2,0.25
11,3,0.25
12,0,0.25
12,1,0.25
12,2,0.26
12,3,0.25
13,0,0.25
13,1,0.25
13,2,0.25
13,3,0.26
14,0,0.25
14,1,0.25
14,2,0.25
14,3,0.26
15,0,0.25
15,1,0.25
15,2,0.26
15,3,0.25
